t,mX,a,v,x,sA,sV,sX,tch
0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
1,10,9.099056325439657,9.099056325439657,4.549528162719828,102.61558614069375,102.23110427731352,45.79924986351263,0
2,15,4.865052221002197,14.96451305615404,17.581717363228865,48.18256331054346,151.85630630463203,179.53189830690457,0
3,5,-14.534412491769157,0.2746774572946791,25.000009516483807,-145.55811416316163,2.4369482841124452,251.21146046177648,1
4,-20,-19.933675183262896,-19.658997725968216,15.307849382147038,-202.01866547031233,-197.93188843745236,150.91354189245519,0
5,-20,-0.7063411927160922,-20.47657506010349,-4.871173152307996,-7.499126487687746,-205.94223341236852,-52.62341131811762,0
6,20,40.13928846133918,19.943218922648988,-4.799167131538027,401.9234573972615,205.1738570863762,-46.9589253674085,0
7,0,-20.040311282198868,-0.2984201698153832,4.629442649481488,-202.84242940269482,0.6673841262619217,41.78630118327399,0
8,0,-0.24589030282054183,-0.5451550697944013,4.168199251029801,-2.5887424624766737,-3.479404834826704,41.5427202978801,0
9,0,0.5715799711736098,0.46146378965660295,4.832820116659357,5.569203276528388,4.122242950671798,58.473307818867546,0
10,0,-0.489564404904546,-0.05066287326524094,5.110231577345526,-0.9580857607098348,-4.286240021463587,51.31260324392721,0
11,0,0.42532295068098436,0.5071546115700423,5.52701979681989,2.86965704918745,5.913672984254231,57.254855877867264,0
12,0,-0.40167945082402307,-0.10412956252783678,5.363955385483225,-3.884552121794172,-0.4501591591247779,49.4473241961693,0
13,0,-0.028920770290844833,-0.2814040664212766,4.868501698739893,-0.6341955281224194,1.633203743249327,44.07535448508886,0
14,0,0.15832214538808453,-0.14297054414458638,4.697123627955058,7.3159874225831345,-9.001790314506557,51.2494854372883,0
15,0,0.6193411602873167,0.36356491407141206,4.6723783833539,10.171271539345982,2.9929640016225707,46.49873915148649,0
16,0,-0.5172900283622541,0.09960102381715341,5.188609030184227,-6.375518429454881,1.0684598150605034,54.32271954204984,0
17,0,0.13004160908208173,0.02489100267815858,4.900201754992445,1.9023142392585104,1.4961923351174236,45.78871955297786,0
18,0,-0.38107831320588714,-0.32586074342867616,4.7249834280376515,-5.741181615268857,-0.8407479979643693,46.4149892691369,0
19,0,-0.014441867818331417,-0.10257032412579466,4.994895759665621,0.7434346707583563,-4.939321423138498,56.52663760605934,0
20,0,0.4265503266127842,0.29448477832659764,5.125522948227262,6.396621409769464,0.21315326731274975,53.28146587145728,0
21,0,-0.34490764804357144,-0.27883105311513906,4.792882113608537,-1.4094879352297653,-3.5007445460315645,45.550094270561985,0
22,0,0.3691970198715225,0.28168212075137455,5.040153536911262,1.0704173890017512,4.800219801751556,52.342893541268566,0
23,0,0.3285261696614874,0.6659644233108223,5.527532764799616,1.164868812764179,9.466187616072041,54.846384634068166,0
24,0,-0.24411570493446355,0.09936896286755714,5.319270673684066,-2.4609893301578216,3.6187296898459387,45.99771267008546,0
25,0,-0.25360729908748525,-0.2776104759084327,4.977010074235254,-3.329792400152119,-0.9627581147675427,47.96135535996862,0
26,0,0.04872432519953601,-0.19874661845211405,4.7286560872778765,0.4192374009966761,5.382584615525664,47.43496441012024,0
